name,lat,lng,address,uid
恒大绿洲,30.556018,114.130483,蔡甸区汉阳大街276号,
三五四一社区,30.56181,114.138154,武汉市蔡甸区新天大道827号,
东风阳光城,30.501164,114.157756,湖北省武汉市蔡甸区沌口开发区东风大道车城西路70号,
人信·太子湾,30.512608,114.188113,武汉市汉阳区新民路220号,
健龙·果岭公元,30.491401,114.158919,武汉市蔡甸区东风大道227号,
西山林语,30.560162,114.127682,湖北省武汉市蔡甸区西山林语(汉阳大街北220米),
联投半岛,30.496284,114.144984,湖北省武汉市蔡甸区车城大道269号,
佳和馨居,30.506084,114.163959,湖北省武汉市蔡甸区东兴路2号,
越秀逸境,30.475619,114.101682,湖北省武汉市蔡甸区全力一路与后官湖南路交叉口,
江大园,30.529372,114.165405,武汉市蔡甸区博学路1号,
蔡家馨苑,30.510435,114.16006,武汉市蔡甸区神龙大道129号,
美好愿景香榭丽舍,30.501844,114.163994,湖北省武汉市蔡甸区神龙大道119号,
金色港湾商业-三期,30.522499,114.185133,武汉市蔡甸区东风大道68号附40号,
世茂龙湾-2期,30.492461,114.097813,湖北省武汉市蔡甸区大集街道世茂龙湾二期,
红光精品花园,30.571277,114.061,湖北省武汉市蔡甸区新天大道110号,
宁康园,30.500497,114.176938,武汉市蔡甸区宁康路69号,
新民花园小区,30.517729,114.191179,蔡甸区经济开发区金色港湾芳草一路255号（奥林花园小区旁）,
万科金域蓝湾,30.511014,114.162976,湖北省武汉市蔡甸区三角湖路,
海天幸福小城-三期,30.472844,114.141076,武汉市蔡甸区蔡甸经济开发区沌口办事处沌口街街道珠山湖大道210号,
东风.阳光城四期红枫苑,30.503532,114.155687,湖北省武汉市蔡甸区沌口东风·阳光城三期西北,
东方花园-A区,30.504456,114.168487,武汉市蔡甸区神龙大道126号,
金色港湾-一期,30.52036,114.181981,湖北省武汉市蔡甸区东风大道68号,
东风阳光城黄馨苑,30.502171,114.154635,湖北省武汉市蔡甸区沌口东风阳光城黄馨苑(沌阳大道北),
幺铺还建小区,30.568893,114.08131,湖北省武汉市蔡甸区汉阳大街幺铺还建小区,
金荷花园,30.498885,114.161676,湖北省武汉市蔡甸区观湖路与东兴路交叉口,
东方夏威夷国际花园,30.525395,114.142889,武汉市蔡甸区博艺路,
世贸龙湾别墅,30.49477,114.099693,武汉市蔡甸区知音湖大道特1号(知音湖大道与天鹅湖大道交汇处),
金家·新都汇,30.578223,114.048571,武汉市蔡甸区茂兴路1号,
港湾江城,30.466009,114.200582,武汉市蔡甸区沌口路221号,
东方花园-B区,30.504803,114.166155,湖北省武汉市蔡甸区沌口东方花园B区(东兴路东90米),
万科翡翠玖玺,30.505347,114.186369,湖北省武汉市经开区车城东路1号,
枫桦苇岸,30.464076,114.186351,武汉市蔡甸区沌口路457号,
中法新城,30.571349,114.062489,武汉市蔡甸区大拇指广场中法新城,
人信千年美丽,30.521806,114.112793,湖北省武汉市蔡甸区大沌线,
嘎纳印象,30.527474,114.188831,湖北省武汉经济开发区东风大道56号,
中国健康谷,30.543892,114.121142,湖北省武汉市蔡甸区汉阳大道与五贤路交汇处,
人信奥林花园,30.515866,114.186661,湖北省武汉市蔡甸区东风大道71-附68号,
