zone_id,gid,tract,area,acres,sum_residential_units,sum_job_spaces,population,jobs,ave_lot_sqft,ave_income,hhsize,ave_unit_sqft,sfdu,poor,renters,zone_id
1442,525,126100.0,5272042.0,121.029,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1442
1434,508,114100.0,7820341.5,179.53,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1434
246,784,605000.0,4247867.5,97.518,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,246
1312,560,201800.0,759732500.0,17441.059,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1312
705,1205,512507.0,27835386.0,639.013,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,705
1291,552,201002.0,75353150.0,1729.87,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1291
875,1448,,6510720.0,149.466,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,875
1087,435,356002.0,112120136.0,2573.924,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1087
1316,561,201900.0,181741090.0,4172.201,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1316
26,577,11800.0,55254.734,1.268,7.0317412587631285,8.54110501146255,6.875232087276577,7.257707677160043,6.830168184099089,9.820160289946374,1.0986122886681098,6.809852642543047,1.3862943611198906,6.594413459749778,3.713572066704308,26
1416,534,132200.0,301129060.0,6912.972,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1416
1415,535,133000.0,512183330.0,11758.111,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1415
1308,553,201100.0,154557200.0,3548.145,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1308
1309,554,201200.0,59578268.0,1367.729,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1309
1097,350,315000.0,40394580.0,927.332,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1097
