lat,lon,amenity,name,name:zh
30.6061042,114.2941415,school,育才中学,
30.6057348,114.2963946,school,解放中学,
30.5496083,114.2922093,school,,
30.6153603,114.2613088,school,武汉市第十九初级中学,
30.5702612,114.2773226,school,江汉区大夹街小学,
30.5734703,114.2788528,school,江汉区福建街小学,
30.5726297,114.2789976,school,武汉市第52中学,
30.5710268,114.2840667,school,江汉区大兴路小学,
30.5744815,114.2825432,school,汉口回民小学,
30.5733273,114.2851289,school,黄陂街小学分校,
30.5719505,114.2846675,school,武汉市人民中学,
30.5781673,114.2842064,school,江汉区武汉关小学,
30.5759239,114.2818018,school,江汉区清芬路小学,
30.576598,114.2813888,school,武汉市第51中学,
30.5708665,114.274297,school,硚口区新安街小学,
30.5711988,114.2763301,school,硚口区人和街小学,
30.5729126,114.2748334,school,武汉市财经学校,
30.5743767,114.2738624,school,硚口区安徽街小学,
30.5713512,114.2690935,school,硚口区宝善街小学,
30.5716655,114.2699142,school,硚口区星火小学,
30.5703808,114.2678213,school,武汉市第十六中学,
30.5706956,114.2663684,school,硚口区南阳村小学,
30.56937,114.2663898,school,硚口区利济路小学,
30.5738176,114.2646732,school,武汉市第29中学,
30.5725985,114.265494,school,硚口区红旗村小学,
30.5783763,114.2680581,school,武汉市第27中学,
30.5752681,114.269292,school,硚口区游艺路小学,
30.5782147,114.2669209,school,硚口区跃进村小学,
30.577956,114.2703214,school,硚口区六角亭小学,
30.5762694,114.2741942,school,江汉区天一街小学,
30.5773688,114.2742318,school,武汉市第五中学,
30.5814096,114.2722523,school,武汉市第75中学,
30.582721,114.2744517,school,江汉区惠康里小学,
30.577508,114.27655,school,武汉市旅游学校,
30.5789437,114.2795908,school,江汉区前进二路小学,
30.5808788,114.2803419,school,江汉区桃源坊小学,
30.5834324,114.2805009,school,武汉市第19中学,
30.5865542,114.2832118,school,江岸区铭新街小学,
30.5844528,114.2885709,school,武汉市第21中学,
30.5879951,114.2936081,school,江岸区鄱阳街小学,
30.5895834,114.2913657,school,武汉市第20中学,
30.599558,114.2986851,school,武汉市实验初级中学,
30.5970877,114.2973869,school,武汉市实验学校,
30.5946452,114.2985457,school,江岸区一元路小学,
30.5909005,114.2933368,school,江岸区黄陂路小学,
30.5921932,114.293723,school,武汉市美术学校,
30.5902076,114.2858159,school,武汉市警予中学,
30.591196,114.2863041,school,江岸区瑞祥路小学,
30.5962988,114.2947581,school,武汉市第16中学,
30.6019036,114.297108,school,武汉市七一华源中学,
30.6063269,114.2987388,school,江岸区沈阳路小学,
30.6055836,114.299515,school,武汉市第41中学,
30.6021117,114.300552,school,江岸区四唯路小学,
30.6074075,114.3055942,school,武汉二中广雅中学,
30.6089309,114.3048006,school,江岸区长春街小学,
30.6088476,114.3021932,school,武汉市第二中学,
30.5910136,114.2829287,school,武汉市财贸学校,
30.5925698,114.2843771,school,江岸区吕锡三小学,
30.5830176,114.2705911,school,江汉区展览馆小学,
30.5857215,114.2743998,school,江汉区单洞新村小学,
30.5931516,114.2672812,school,武汉市第12中学,
30.5958209,114.264551,school,江汉区取水楼小学,
30.5696536,114.2604777,school,硚口区大通巷小学,
30.5711549,114.2554457,school,武汉市第64中学,
30.5682266,114.2502851,school,武汉市第64中学分校,
30.5695379,114.2477209,school,硚口区中山巷小学,
30.5705822,114.2533643,school,硚口区义烈巷小学,
30.5682169,114.2525274,school,硚口区庆新小学,
30.5724551,114.2552163,school,武汉市第56中学,
30.5724292,114.2539224,school,硚口区建乐村小学,
30.5740691,114.2577848,school,硚口区井岗山小学,
30.5767245,114.259319,school,武汉市第一职业教育中心,
30.5734019,114.2612239,school,硚口区幸福村小学,
30.5785444,114.2596409,school,硚口区利济北路小学,
30.5805762,114.2576883,school,武汉市第62中学,
30.5802973,114.2571041,school,华中科技大学同济医院附属卫生学校,
30.5771925,114.2548816,school,武汉市第11中学,
30.5775158,114.2530791,school,硚口区崇仁路小学,
30.5772861,114.2348613,school,硚口区长征小学,
30.576492,114.2389785,school,硚口区仁寿路小学,
30.5845735,114.2204742,school,硚口区水厂路小学,
30.5811979,114.218827,school,水厂路中学,
30.5847218,114.2228238,school,硚口区新合村小学,
30.6074359,114.2252254,school,硚口区常码头小学,
30.5807922,114.2651553,school,江汉区滑坡路小学,
30.6003725,114.2747767,school,,
30.597239,114.2780965,school,江岸区台北路小学,
30.4828996,114.2521922,school,华中师范大学附属万科金色城市小学,
30.5609341,114.3041302,school,武汉市第三十八中学,
30.4752855,114.2642523,school,武汉市青菱中学,
30.5351309,114.3091331,school,武昌区中山路小学,武昌区中山路小学
30.5520818,114.2944101,school,武昌中华路小学,
