,name,location,address,province,city,area,street_id,telephone,detail,uid
0,华中科技大学同济医学院附属协和医院西院,"{'lat': 30.498577, 'lng': 114.180748}",武汉市蔡甸区神龙大道58号,湖北省,武汉市,蔡甸区,87248d96d1f212aa2806ce0e,(027)84289562,1,87248d96d1f212aa2806ce0e
1,华中科技大学同济医院(中法新城院区),"{'lat': 30.555374, 'lng': 114.12036}",武汉市蔡甸区新天大道288号,湖北省,武汉市,蔡甸区,1221100d8154ff54100daab3,,1,1221100d8154ff54100daab3
2,武汉后官湖医院,"{'lat': 30.47541, 'lng': 114.126717}",湖北省武汉市经济技术区后官湖大道152号(有轨电车T1路枫树三路站往东步行200米),湖北省,武汉市,蔡甸区,da90e78542c8ce1ad13ce38d,(027)84856120,1,da90e78542c8ce1ad13ce38d
3,常福医院,"{'lat': 30.439629, 'lng': 114.050148}",武汉市蔡甸区建新北路43号,湖北省,武汉市,蔡甸区,fc7675242013eee34e776e5f,,1,fc7675242013eee34e776e5f
4,协和江北医院,"{'lat': 30.568141, 'lng': 114.050683}",湖北省武汉市蔡甸区成功大道111号,湖北省,武汉市,蔡甸区,edd51e64148fd654da2f28dd,"(027)84905996,(027)84906757",1,edd51e64148fd654da2f28dd
5,武汉市蔡甸区中医医院,"{'lat': 30.583151, 'lng': 114.033814}",武汉市蔡甸区新福路516号,湖北省,武汉市,蔡甸区,ddf30796ea458d31d8d89197,(027)84943945,1,ddf30796ea458d31d8d89197
6,协和医院西院-门诊部,"{'lat': 30.498153, 'lng': 114.180214}",湖北省武汉市蔡甸区经济技术开发区神龙大道58号,湖北省,武汉市,蔡甸区,0a15c7ecab800481ed74f831,,1,0a15c7ecab800481ed74f831
7,武汉济和医院,"{'lat': 30.577508, 'lng': 114.038912}",湖北省武汉市蔡甸区蔡甸大街216号,湖北省,武汉市,蔡甸区,ffa22f1237b8541bf4b91614,(027)66662066,1,ffa22f1237b8541bf4b91614
8,武汉蔡甸火神山医院,"{'lat': 30.533059, 'lng': 114.093118}",湖北省武汉市蔡甸区知音湖大道,湖北省,武汉市,蔡甸区,,,1,9760f3e62fa2ad08f82d6166
9,武汉九康医院,"{'lat': 30.457182, 'lng': 114.058814}",武汉市蔡甸区常福新城龙王庙社区二期31栋,湖北省,武汉市,蔡甸区,5993deb1e68eae81fea77817,(027)84999120,1,5993deb1e68eae81fea77817
10,薛峰社区卫生服务中心,"{'lat': 30.466851, 'lng': 114.100606}",武汉市蔡甸区全力一路薛峰社区特1号,湖北省,武汉市,蔡甸区,cc08e6220c2d0cb01188245a,,1,cc08e6220c2d0cb01188245a
11,五和中医院,"{'lat': 30.47135, 'lng': 114.132337}",湖北省武汉市蔡甸区枫树二路88号,湖北省,武汉市,蔡甸区,d84c96e050409cbe0bccdde3,(027)84792888,1,d84c96e050409cbe0bccdde3
12,蔡甸区红十字会医院,"{'lat': 30.577603, 'lng': 114.044035}",湖北省武汉市蔡甸区蔡甸大街226号,湖北省,武汉市,蔡甸区,3c0ea7c5ccfbf39cfaf0cb85,(027)69841138,1,3c0ea7c5ccfbf39cfaf0cb85
13,沌阳社区卫生服务中心-公共卫生科,"{'lat': 30.494532, 'lng': 114.157233}",湖北省武汉市蔡甸区联城路73号沌阳医院,湖北省,武汉市,蔡甸区,8687aaed68361b4ec13644b3,,1,8687aaed68361b4ec13644b3
14,蔡甸区奓山街卫生院,"{'lat': 30.455664, 'lng': 114.017126}",武汉市蔡甸区奓山街白鹤泉西路64号,湖北省,武汉市,蔡甸区,2cc3c8e8402983d64c2fdf8a,,1,2cc3c8e8402983d64c2fdf8a
15,协和西院住院楼,"{'lat': 30.499317, 'lng': 114.181445}",武汉市蔡甸区神龙大道56号,湖北省,武汉市,蔡甸区,9a02c7300890bc49c9fa5fdb,,1,9a02c7300890bc49c9fa5fdb
16,军山街卫生院,"{'lat': 30.413808, 'lng': 114.095472}",武汉市蔡甸区军山街黄陵北后街38号,湖北省,武汉市,蔡甸区,75d0881a9159364e3a04b120,(027)69370058,1,75d0881a9159364e3a04b120
