,name,location,address,province,city,area,street_id,telephone,detail,uid
0,武汉经开外国语学校,"{'lat': 30.469522, 'lng': 114.185381}",湖北省武汉市经济技术开发区万家湖路230号,湖北省,武汉市,蔡甸区,bb75c0c568ac1d30d2f49e33,(027)84736636,1,bb75c0c568ac1d30d2f49e33
1,武汉市蔡甸区汉阳一中,"{'lat': 30.584734, 'lng': 114.023533}",武汉市蔡甸区蔡甸大街177号,湖北省,武汉市,蔡甸区,a3e8341ca3ff5c954bfd3f83,"(027)69813114,(027)69813117",1,a3e8341ca3ff5c954bfd3f83
2,武汉经济技术开发区第一初级中学,"{'lat': 30.500815, 'lng': 114.171068}",武汉市蔡甸区创业路与神龙大道交叉路口西南侧(湘隆时代大公馆西南侧约100米),湖北省,武汉市,蔡甸区,b292b3aa58429956bf484281,,1,b292b3aa58429956bf484281
3,武汉商学院,"{'lat': 30.466056, 'lng': 114.093785}",湖北省武汉市蔡甸区东风大道816号,湖北省,武汉市,蔡甸区,befba1fbbf5369bc72455b08,"(027)84791355,(027)84791387",1,befba1fbbf5369bc72455b08
4,武汉经济技术开发区第一中学,"{'lat': 30.515862, 'lng': 114.16162}",武汉市蔡甸区博学路10号,湖北省,武汉市,蔡甸区,f464e61c5043fb829d82eaeb,(027)84226102,1,f464e61c5043fb829d82eaeb
5,常福中心小学,"{'lat': 30.436247, 'lng': 114.050932}",武汉市蔡甸区建新南路18号,湖北省,武汉市,蔡甸区,,(027)69570026,1,a7c56ee05ec830b0a3acc4fa
6,神龙小学,"{'lat': 30.500679, 'lng': 114.179372}",湖北省武汉市蔡甸区体育路100号,湖北省,武汉市,蔡甸区,a74481d6b0169846f403b886,,1,a74481d6b0169846f403b886
7,武汉市蔡甸区幸福路中学,"{'lat': 30.581093, 'lng': 114.03188}",武汉市蔡甸区新福路596号,湖北省,武汉市,蔡甸区,bff8fa7d3bc9d7a0c9213d83,,1,bff8fa7d3bc9d7a0c9213d83
8,武汉市中法新城外国语学校,"{'lat': 30.573404, 'lng': 114.078318}",湖北省武汉市蔡甸区凤凰山经济开发区五贤北路二号,湖北省,武汉市,蔡甸区,,,1,83e0fbdc55e9f3fb3be4a6aa
9,三牛中美学校,"{'lat': 30.5193, 'lng': 114.193274}",武汉市蔡甸区太子湖北路142号附近,湖北省,武汉市,蔡甸区,7540d4d0f0aa98f2e856fa6b,(027)84853636,1,7540d4d0f0aa98f2e856fa6b
10,武汉经济技术开发区汉阳三中,"{'lat': 30.422485, 'lng': 114.097543}",武汉市蔡甸区经济开发区军山街黄陵小街418号,湖北省,武汉市,蔡甸区,,(027)84973230,1,9871138bf305697899005088
11,武汉外国语学校,"{'lat': 30.522709, 'lng': 114.189115}",湖北省武汉市蔡甸区东风大道69号,湖北省,武汉市,蔡甸区,ab3475ccbe23dfb8c42ba189,(027)84897315,1,ab3475ccbe23dfb8c42ba189
12,新农中学,"{'lat': 30.567695, 'lng': 114.09004}",湖北省武汉市蔡甸区汉新街北34号,湖北省,武汉市,蔡甸区,e56bf5e3278f5c440682c283,(027)84925198,1,e56bf5e3278f5c440682c283
13,新城小学,"{'lat': 30.495693, 'lng': 114.154923}",武汉市蔡甸区联城路78号,湖北省,武汉市,蔡甸区,43b7e889b05b626a59f6be86,,1,43b7e889b05b626a59f6be86
14,官士墩中学,"{'lat': 30.536249, 'lng': 114.188137}",湖北省武汉市经济技术开发区新华园二路1号,湖北省,武汉市,蔡甸区,e05b9104d9380f920482c245,,1,e05b9104d9380f920482c245
15,大集镇中心小学,"{'lat': 30.512166, 'lng': 114.055863}",湖北省武汉市蔡甸区老街48-52号,湖北省,武汉市,蔡甸区,5c56edd6c1c0ef5aa0d23083,(027)69162494,1,5c56edd6c1c0ef5aa0d23083
16,武汉市蔡甸区第一小学,"{'lat': 30.593217, 'lng': 114.040522}",武汉市蔡甸区文昌街90号,湖北省,武汉市,蔡甸区,f09051f3ba7dea4128201a54,(027)84943667,1,f09051f3ba7dea4128201a54
17,武汉市艺术学校,"{'lat': 30.527224, 'lng': 114.159719}",武汉市蔡甸区博艺路1号,湖北省,武汉市,蔡甸区,a3f21eeed1bb7a472fb17ee1,(027)84257722,1,a3f21eeed1bb7a472fb17ee1
18,武汉实验外国语学校-小学部,"{'lat': 30.521905, 'lng': 114.188892}",湖北省武汉市经济技术开发区东风大道69号,湖北省,武汉市,汉阳区,df60f093cde29a98deee8b30,(027)84897176,1,df60f093cde29a98deee8b30
19,星光小学,"{'lat': 30.461025, 'lng': 114.01872}",园丁路与奓山路交叉口北200米,湖北省,武汉市,蔡甸区,,,1,495cf10d920ebbd2f5c59cf6
20,莲花湖中学,"{'lat': 30.587383, 'lng': 114.040474}",湖北省武汉市蔡甸区新福路11号,湖北省,武汉市,蔡甸区,fa7da3e8a33dd66243d63e83,(027)84943685,1,fa7da3e8a33dd66243d63e83
21,汉阳二中,"{'lat': 30.452631, 'lng': 114.021422}",湖北省武汉市蔡甸区上石桥39号,湖北省,武汉市,蔡甸区,,(027)84981156,1,2fd2beab831ce0517adbd2fa
22,永安中心小学,"{'lat': 30.462081, 'lng': 113.944394}",武汉市蔡甸区永安大街265号,湖北省,武汉市,蔡甸区,38eb94fe29015994c9e33c18,(027)69303269,1,38eb94fe29015994c9e33c18
23,沌口小学,"{'lat': 30.46909, 'lng': 114.194346}",武汉市蔡甸区沌口路544号,湖北省,武汉市,蔡甸区,7aea43b7f09644f87d29bd86,,1,7aea43b7f09644f87d29bd86
24,成功中学,"{'lat': 30.415632, 'lng': 113.728476}",武汉市蔡甸区成功现代都市农业发展区管理委员会成功街,湖北省,武汉市,蔡甸区,,,1,41572e00175544c9b45f1e17
25,三角湖小学(博学校区),"{'lat': 30.513999, 'lng': 114.163163}",武汉市蔡甸区经济技术开发区三角湖路8号,湖北省,武汉市,蔡甸区,3a0fbba80faa3c419fe32182,"(027)84858661-8015,(027)84858661-8020",1,3a0fbba80faa3c419fe32182
26,武汉武珞路实验初级中学奥山经开学校,"{'lat': 30.414556, 'lng': 114.085495}",湖北省武汉市蔡甸区黄陵大道,湖北省,武汉市,蔡甸区,bd5046e8d4c13441d62ce284,,1,bd5046e8d4c13441d62ce284
27,洪山小学,"{'lat': 30.484274, 'lng': 114.143687}",武汉市蔡甸区后官湖大道32号,湖北省,武汉市,蔡甸区,a5097bfa1be37063f13cba86,(027)84236825,1,a5097bfa1be37063f13cba86
28,恒大绿洲小学,"{'lat': 30.557587, 'lng': 114.133753}",武汉市蔡甸区新天村厢坊湾12号,湖北省,武汉市,蔡甸区,5e555070bc4e7fcf43e192ba,(027)84924825,1,5e555070bc4e7fcf43e192ba
29,武汉商学院-南门,"{'lat': 30.462114, 'lng': 114.094376}",湖北省武汉市蔡甸区经济开发区东风大道816号,湖北省,武汉市,蔡甸区,1c60e86887ac6b336018094c,,1,1c60e86887ac6b336018094c
30,小集中学,"{'lat': 30.518275, 'lng': 114.083692}",武汉市蔡甸区小集镇街122号,湖北省,武汉市,蔡甸区,f5e3bcae25d919c15f17c383,,1,f5e3bcae25d919c15f17c383
31,武汉精英学校,"{'lat': 30.440254, 'lng': 113.852843}",湖北省武汉市蔡甸区儒学路19号,湖北省,武汉市,蔡甸区,,"(027)84999210,(027)84999996",1,2e7b02d648d98c9af60e7744
32,武汉市蔡甸区第二小学,"{'lat': 30.590125, 'lng': 114.03778}",武汉市蔡甸区文昌街136号,湖北省,武汉市,蔡甸区,befdb292af89a0e1861541bd,,1,befdb292af89a0e1861541bd
33,三角湖小学(新华校区),"{'lat': 30.527953, 'lng': 114.198294}",湖北省武汉市汉阳区三环线与芳草路交叉口,湖北省,武汉市,蔡甸区,1ae5be2ed707ce2153e5c5d2,,1,1ae5be2ed707ce2153e5c5d2
34,武汉开发区实验小学,"{'lat': 30.508126, 'lng': 114.164907}",武汉市蔡甸区经济技术开发区车城西路8号,湖北省,武汉市,蔡甸区,c9deb581eceff6dfd8eceddf,"(027)84660336,(027)84660955",1,c9deb581eceff6dfd8eceddf
35,消泗乡九沟小学,"{'lat': 30.364844, 'lng': 113.789903}",湖北省武汉市蔡甸区消泗乡九沟小学(百曲北),湖北省,武汉市,蔡甸区,,,1,7388dffdb694c996d3ff2317
36,蔡甸区第三小学,"{'lat': 30.592677, 'lng': 114.032175}",武汉市蔡甸区蔡甸街古井路115号,湖北省,武汉市,蔡甸区,b3aa435d60c9a00b147643bd,,1,b3aa435d60c9a00b147643bd
37,武汉市蔡甸区第五小学,"{'lat': 30.579594, 'lng': 114.034036}",武汉市蔡甸区蔡甸大街199号,湖北省,武汉市,蔡甸区,5b25f4469939bfea11293583,(027)84996420,1,5b25f4469939bfea11293583
38,蔡甸区实验高级中学,"{'lat': 30.589664, 'lng': 114.025392}",湖北省武汉市蔡甸区汉马路33号,湖北省,武汉市,蔡甸区,50f7d146b865d3ba72210b19,,1,50f7d146b865d3ba72210b19
39,合贤学校,"{'lat': 30.501931, 'lng': 113.963065}",武汉市蔡甸区合贤集92号,湖北省,武汉市,蔡甸区,,,1,25ec69fca7c3727dc36c1484
40,蔡甸区第六小学,"{'lat': 30.577574, 'lng': 114.042061}",湖北省武汉市蔡甸区蔡姚路148号,湖北省,武汉市,蔡甸区,25ec29c55ae10c4baaf72950,,1,25ec29c55ae10c4baaf72950
41,东方小学(车站街),"{'lat': 30.512404, 'lng': 114.07383}",湖北省武汉市蔡甸区大集街西板桥赵湾34号,湖北省,武汉市,蔡甸区,09185c5663f7af5df0193783,,1,09185c5663f7af5df0193783
42,常福中学,"{'lat': 30.432548, 'lng': 114.052568}",武汉市蔡甸区老街54号,湖北省,武汉市,蔡甸区,,,1,beabdbf48106b19b7069d3fa
43,武汉长江国际学校,"{'lat': 30.517939, 'lng': 114.160794}",湖北省武汉市蔡甸区博学路10-1号,湖北省,武汉市,蔡甸区,170226c83ad04e4af1193737,,1,170226c83ad04e4af1193737
44,张湾中心小学,"{'lat': 30.656928, 'lng': 113.972428}",武汉市蔡甸区,湖北省,武汉市,蔡甸区,550fd5f998124479921fc984,,1,550fd5f998124479921fc984
45,武汉市蔡甸区卫生学校,"{'lat': 30.592564, 'lng': 114.02481}",武汉市蔡甸区齐联里1号,湖北省,武汉市,蔡甸区,d4034eb3941009f6c13644bd,,1,d4034eb3941009f6c13644bd
46,老龙小学,"{'lat': 30.488318, 'lng': 113.843849}",湖北省武汉市蔡甸区王家咀2号,湖北省,武汉市,蔡甸区,,,1,4edf9fbf024e2d95cc06a427
47,万家湖小学,"{'lat': 30.469689, 'lng': 114.185429}",武汉市蔡甸区万家湖路万家湖社区(A区)西南侧约120米,湖北省,武汉市,蔡甸区,,,1,f2a1566e0ae534d60e3ddabf
48,蔡甸区第四小学,"{'lat': 30.584687, 'lng': 114.044101}",湖北省武汉市蔡甸区蔡甸街道汉阳大街第四小学,湖北省,武汉市,蔡甸区,06d2dffdd5cc0c8b88f15d0d,,1,06d2dffdd5cc0c8b88f15d0d
49,蔡甸区姚家林小学,"{'lat': 30.546151, 'lng': 114.029568}",湖北省武汉市蔡甸区大学路姚家岭,湖北省,武汉市,蔡甸区,,,1,8d96925c06f9e346c1f1cfe8
50,东风汽车公司技师学院,"{'lat': 30.470532, 'lng': 114.205203}",武汉市蔡甸区沌口经济开发区汉纸中路197号,湖北省,武汉市,蔡甸区,25ec69fc1a5c1900c26c1418,,1,25ec69fc1a5c1900c26c1418
51,索河中学,"{'lat': 30.533988, 'lng': 113.90755}",武汉市蔡甸区索河路1号,湖北省,武汉市,蔡甸区,,,1,bf29b70288e4b89908b93a84
52,武汉外国语学校-初中部大门,"{'lat': 30.5224, 'lng': 114.187287}",湖北省武汉市蔡甸区东风大道69号,湖北省,武汉市,蔡甸区,33122729e5b0f1dfee74f85a,,1,33122729e5b0f1dfee74f85a
53,蔡甸区第三小学-西南门,"{'lat': 30.592271, 'lng': 114.031827}",武汉市蔡甸区古井路128号附近,湖北省,武汉市,蔡甸区,535cf42685c5bfbbc61b7553,,1,535cf42685c5bfbbc61b7553
54,武汉商学院-北门,"{'lat': 30.465013, 'lng': 114.094642}",湖北省武汉市蔡甸区后官湖大道,湖北省,武汉市,蔡甸区,c6cc5fe229c7b67d0ba8d4a7,,1,c6cc5fe229c7b67d0ba8d4a7
55,江汉大学继续教育学院,"{'lat': 30.514625, 'lng': 114.17024}",武汉市蔡甸区经济技术开发区三角湖路8号,湖北省,武汉市,蔡甸区,dedb7fcfbb4d4208cac3dbb3,,1,dedb7fcfbb4d4208cac3dbb3
56,石港小学,"{'lat': 30.503997, 'lng': 113.879959}",湖北省武汉市蔡甸区X014(龚侏),湖北省,武汉市,蔡甸区,,(027)84021533,1,29519f6a4fcea111bb17e779
57,海伦堡小学,"{'lat': 30.413261, 'lng': 114.167503}",湖北省武汉市蔡甸区军山街小军村,湖北省,武汉市,蔡甸区,,,1,089e42df2a080380715e805a
58,美乔培训学校(沌口校区),"{'lat': 30.519312, 'lng': 114.18469}",湖北省武汉市蔡甸区东风大道71-附72号,湖北省,武汉市,蔡甸区,4d1e1351e9cfeab56ec02cea,(027)84491007,1,4d1e1351e9cfeab56ec02cea
59,侏儒四中,"{'lat': 30.440991, 'lng': 113.853064}",湖北省武汉市蔡甸区儒学路19号,湖北省,武汉市,蔡甸区,,,1,3c357bfdbe7dc8611d5800c5
60,奥林小学-东门,"{'lat': 30.519102, 'lng': 114.187403}",武汉市蔡甸区新民路,湖北省,武汉市,蔡甸区,fee8ad799ada64f057bfffe4,,1,fee8ad799ada64f057bfffe4
61,三牛中美学校-西南门,"{'lat': 30.518608, 'lng': 114.192624}",武汉市蔡甸区太子湖北路146号附近,湖北省,武汉市,蔡甸区,e2e74f88e595efa428201a51,,1,e2e74f88e595efa428201a51
62,武汉武珞路实验初级中学奥山经开学校-西南门,"{'lat': 30.414, 'lng': 114.084818}",湖北省武汉市蔡甸区黄陵大道,湖北省,武汉市,蔡甸区,8ac896b3c398c2e18bfc0614,,1,8ac896b3c398c2e18bfc0614
63,武汉多芬艺术学校(沌口分校),"{'lat': 30.503021, 'lng': 114.168989}",武汉市蔡甸区东风大道518号中百仓储金凯购物广场F3,湖北省,武汉市,蔡甸区,56cc7d7a9dc47aee6f4760ff,(027)84476107,1,56cc7d7a9dc47aee6f4760ff
64,晨文希韵培训学校,"{'lat': 30.553985, 'lng': 114.130859}",武汉市蔡甸区恒大绿洲尚街二楼,湖北省,武汉市,蔡甸区,,13437106440,1,9c5d7848a07970dab01e36f5
65,武汉市蔡甸区第一小学-东南门,"{'lat': 30.592884, 'lng': 114.041039}",武汉市蔡甸区文昌街90号,湖北省,武汉市,蔡甸区,36d46075828f92107702692b,,1,36d46075828f92107702692b
